Graph_File,Graph_Type,Vertices,Edges,Space_Complexity,Augmenting_s-t_Paths,Actual_Max_Flow,Computation_Time_Seconds
Bipartite/bipartite_n80_m48_p0.56_30.txt,Bipartite,130,2280,O(130+2280),150,2904,0.056556
Bipartite/bipartite_n81_m15_p0.31_33.txt,Bipartite,98,474,O(98+474),30,282,0.000000
Bipartite/bipartite_n81_m52_p0.71_31.txt,Bipartite,135,3163,O(135+3163),112,619,0.063137
Bipartite/bipartite_n83_m74_p0.53_44.txt,Bipartite,159,3434,O(159+3434),236,4204,0.225481
Bipartite/bipartite_n84_m84_p0.97_28.txt,Bipartite,170,6970,O(170+6970),293,7042,0.570424
Bipartite/bipartite_n85_m12_p0.71_48.txt,Bipartite,99,797,O(99+797),30,1086,0.000000
Bipartite/bipartite_n86_m48_p0.46_27.txt,Bipartite,136,2051,O(136+2051),153,4752,0.049793
Bipartite/bipartite_n86_m92_p0.54_42.txt,Bipartite,180,4494,O(180+4494),304,9049,0.409078
Bipartite/bipartite_n86_m94_p0.75_13.txt,Bipartite,182,6260,O(182+6260),194,1089,0.351702
Bipartite/bipartite_n87_m77_p0.69_9.txt,Bipartite,166,4820,O(166+4820),200,1608,0.260543
Bipartite/bipartite_n87_m86_p0.97_43.txt,Bipartite,175,7457,O(175+7457),294,5357,0.559145
Bipartite/bipartite_n88_m36_p0.97_31.txt,Bipartite,126,3202,O(126+3202),109,3180,0.068529
Bipartite/bipartite_n90_m24_p0.99_19.txt,Bipartite,116,2242,O(116+2242),78,1809,0.030774
Bipartite/bipartite_n90_m28_p0.39_47.txt,Bipartite,120,1115,O(120+1115),76,2600,0.011081
Bipartite/bipartite_n90_m60_p0.98_32.txt,Bipartite,152,5425,O(152+5425),189,2672,0.210355
Bipartite/bipartite_n90_m67_p0.38_35.txt,Bipartite,159,2469,O(159+2469),227,6040,0.112588
Bipartite/bipartite_n91_m38_p0.37_9.txt,Bipartite,131,1458,O(131+1458),106,1979,0.033423
Bipartite/bipartite_n91_m40_p0.36_10.txt,Bipartite,133,1418,O(133+1418),84,481,0.025632
Bipartite/bipartite_n93_m40_p0.75_16.txt,Bipartite,135,2918,O(135+2918),139,2817,0.073337
Bipartite/bipartite_n93_m51_p0.85_49.txt,Bipartite,146,4207,O(146+4207),129,884,0.096925
Bipartite/bipartite_n96_m72_p0.73_2.txt,Bipartite,170,5152,O(170+5152),236,5048,0.257226
Bipartite/bipartite_n96_m94_p0.65_45.txt,Bipartite,192,5964,O(192+5964),297,3428,0.581844
FixedDegree/fixed_v104_deg6_48.txt,FixedDegree,106,636,O(106+636),20,482,0.000000
FixedDegree/fixed_v106_deg10_21.txt,FixedDegree,108,1080,O(108+1080),31,436,0.034993
FixedDegree/fixed_v109_deg3_40.txt,FixedDegree,111,333,O(111+333),8,46,0.002012
FixedDegree/fixed_v117_deg8_44.txt,FixedDegree,119,952,O(119+952),31,922,0.016215
FixedDegree/fixed_v118_deg5_47.txt,FixedDegree,120,600,O(120+600),20,547,0.014894
FixedDegree/fixed_v118_deg9_17.txt,FixedDegree,120,1080,O(120+1080),31,771,0.037552
FixedDegree/fixed_v125_deg5_24.txt,FixedDegree,127,635,O(127+635),20,715,0.016547
FixedDegree/fixed_v126_deg7_2.txt,FixedDegree,128,896,O(128+896),28,390,0.023050
FixedDegree/fixed_v136_deg3_23.txt,FixedDegree,138,414,O(138+414),10,134,0.002082
FixedDegree/fixed_v141_deg5_16.txt,FixedDegree,143,715,O(143+715),19,645,0.010054
FixedDegree/fixed_v152_deg3_7.txt,FixedDegree,154,462,O(154+462),8,237,0.007089
FixedDegree/fixed_v153_deg8_14.txt,FixedDegree,155,1240,O(155+1240),28,326,0.019188
FixedDegree/fixed_v158_deg8_31.txt,FixedDegree,160,1280,O(160+1280),25,179,0.022988
FixedDegree/fixed_v167_deg9_26.txt,FixedDegree,169,1521,O(169+1521),30,430,0.038506
FixedDegree/fixed_v169_deg9_30.txt,FixedDegree,171,1539,O(171+1539),30,779,0.030602
FixedDegree/fixed_v169_deg9_4.txt,FixedDegree,171,1539,O(171+1539),29,549,0.027461
FixedDegree/fixed_v172_deg3_29.txt,FixedDegree,174,522,O(174+522),10,90,0.000000
FixedDegree/fixed_v174_deg10_36.txt,FixedDegree,176,1760,O(176+1760),33,538,0.063807
FixedDegree/fixed_v181_deg8_33.txt,FixedDegree,183,1464,O(183+1464),25,687,0.033468
FixedDegree/fixed_v182_deg8_37.txt,FixedDegree,184,1472,O(184+1472),24,150,0.040041
FixedDegree/fixed_v185_deg8_45.txt,FixedDegree,187,1496,O(187+1496),29,666,0.043795
FixedDegree/fixed_v186_deg4_15.txt,FixedDegree,188,752,O(188+752),16,250,0.009115
FixedDegree/fixed_v188_deg8_50.txt,FixedDegree,190,1520,O(190+1520),31,1192,0.040106
FixedDegree/fixed_v190_deg10_46.txt,FixedDegree,192,1920,O(192+1920),40,1129,0.098251
FixedDegree/fixed_v192_deg4_42.txt,FixedDegree,194,776,O(194+776),14,618,0.006617
FixedDegree/fixed_v195_deg5_22.txt,FixedDegree,197,985,O(197+985),15,342,0.006191
FixedDegree/fixed_v195_deg5_6.txt,FixedDegree,197,985,O(197+985),19,245,0.016713
FixedDegree/fixed_v198_deg9_13.txt,FixedDegree,200,1800,O(200+1800),35,600,0.069795
FixedDegree/fixed_v200_deg3_20.txt,FixedDegree,202,606,O(202+606),6,147,0.013820
FixedDegree/fixed_v21_deg4_11.txt,FixedDegree,23,92,O(23+92),12,140,0.000000
FixedDegree/fixed_v21_deg7_43.txt,FixedDegree,23,161,O(23+161),23,328,0.003340
FixedDegree/fixed_v21_deg7_49.txt,FixedDegree,23,161,O(23+161),19,948,0.000000
FixedDegree/fixed_v22_deg3_38.txt,FixedDegree,24,72,O(24+72),7,264,0.000000
FixedDegree/fixed_v30_deg6_9.txt,FixedDegree,32,192,O(32+192),18,401,0.003001
FixedDegree/fixed_v57_deg9_28.txt,FixedDegree,59,531,O(59+531),24,417,0.004680
FixedDegree/fixed_v58_deg6_34.txt,FixedDegree,60,360,O(60+360),19,654,0.004445
FixedDegree/fixed_v58_deg9_41.txt,FixedDegree,60,540,O(60+540),25,203,0.001234
FixedDegree/fixed_v60_deg10_32.txt,FixedDegree,62,620,O(62+620),36,1238,0.017917
FixedDegree/fixed_v60_deg4_1.txt,FixedDegree,62,248,O(62+248),14,440,0.000000
FixedDegree/fixed_v63_deg10_8.txt,FixedDegree,65,650,O(65+650),30,661,0.009416
FixedDegree/fixed_v76_deg7_18.txt,FixedDegree,78,546,O(78+546),30,317,0.014176
FixedDegree/fixed_v78_deg3_19.txt,FixedDegree,80,240,O(80+240),8,344,0.000541
FixedDegree/fixed_v78_deg6_27.txt,FixedDegree,80,480,O(80+480),15,106,0.003456
FixedDegree/fixed_v80_deg3_25.txt,FixedDegree,82,246,O(82+246),10,248,0.000000
FixedDegree/fixed_v80_deg7_39.txt,FixedDegree,82,574,O(82+574),26,430,0.009183
FixedDegree/fixed_v83_deg9_3.txt,FixedDegree,85,765,O(85+765),34,674,0.016471
FixedDegree/fixed_v89_deg4_10.txt,FixedDegree,91,364,O(91+364),12,110,0.000000
FixedDegree/fixed_v91_deg8_12.txt,FixedDegree,93,744,O(93+744),30,1010,0.021363
FixedDegree/fixed_v92_deg3_35.txt,FixedDegree,94,282,O(94+282),12,96,0.003030
FixedDegree/fixed_v94_deg7_5.txt,FixedDegree,96,672,O(96+672),25,772,0.015509
