Graph_File,Graph_Type,Vertices,Edges,Space_Complexity,Actual_Max_Flow,Computation_Time_Seconds
Bipartite/bipartite_n84_m84_p0.97_28.txt,Bipartite,170,6970,O(170+6970),7042,0.071950
Bipartite/bipartite_n85_m12_p0.71_48.txt,Bipartite,99,797,O(99+797),1086,0.185356
Bipartite/bipartite_n86_m48_p0.46_27.txt,Bipartite,136,2051,O(136+2051),4752,0.608224
Bipartite/bipartite_n86_m92_p0.54_42.txt,Bipartite,180,4494,O(180+4494),9049,0.042598
Bipartite/bipartite_n86_m94_p0.75_13.txt,Bipartite,182,6260,O(182+6260),1089,0.044949
Bipartite/bipartite_n87_m77_p0.69_9.txt,Bipartite,166,4820,O(166+4820),1608,1.780266
Bipartite/bipartite_n87_m86_p0.97_43.txt,Bipartite,175,7457,O(175+7457),5357,0.155266
Bipartite/bipartite_n88_m36_p0.97_31.txt,Bipartite,126,3202,O(126+3202),3180,1.560418
Bipartite/bipartite_n90_m24_p0.99_19.txt,Bipartite,116,2242,O(116+2242),1809,1.085458
Bipartite/bipartite_n90_m28_p0.39_47.txt,Bipartite,120,1115,O(120+1115),2600,0.847166
Bipartite/bipartite_n90_m60_p0.98_32.txt,Bipartite,152,5425,O(152+5425),2672,2.766527
Bipartite/bipartite_n90_m67_p0.38_35.txt,Bipartite,159,2469,O(159+2469),6040,0.705279
Bipartite/bipartite_n91_m38_p0.37_9.txt,Bipartite,131,1458,O(131+1458),1979,0.386660
Bipartite/bipartite_n91_m40_p0.36_10.txt,Bipartite,133,1418,O(133+1418),481,0.455009
Bipartite/bipartite_n93_m40_p0.75_16.txt,Bipartite,135,2918,O(135+2918),2817,0.901345
Bipartite/bipartite_n93_m51_p0.85_49.txt,Bipartite,146,4207,O(146+4207),884,1.850057
Bipartite/bipartite_n96_m72_p0.73_2.txt,Bipartite,170,5152,O(170+5152),5048,2.263433
Bipartite/bipartite_n96_m94_p0.65_45.txt,Bipartite,192,5964,O(192+5964),3428,1.565773
FixedDegree/fixed_v104_deg6_48.txt,FixedDegree,106,636,O(106+636),482,0.000000
FixedDegree/fixed_v106_deg10_21.txt,FixedDegree,108,1080,O(108+1080),436,0.273267
FixedDegree/fixed_v109_deg3_40.txt,FixedDegree,111,333,O(111+333),46,0.101028
FixedDegree/fixed_v117_deg8_44.txt,FixedDegree,119,952,O(119+952),922,0.006260
FixedDegree/fixed_v118_deg5_47.txt,FixedDegree,120,600,O(120+600),547,0.149711
FixedDegree/fixed_v118_deg9_17.txt,FixedDegree,120,1080,O(120+1080),771,0.253624
FixedDegree/fixed_v125_deg5_24.txt,FixedDegree,127,635,O(127+635),715,0.195477
FixedDegree/fixed_v126_deg7_2.txt,FixedDegree,128,896,O(128+896),390,0.007465
FixedDegree/fixed_v136_deg3_23.txt,FixedDegree,138,414,O(138+414),134,0.009302
FixedDegree/fixed_v141_deg5_16.txt,FixedDegree,143,715,O(143+715),645,0.000000
FixedDegree/fixed_v152_deg3_7.txt,FixedDegree,154,462,O(154+462),237,0.227674
